OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,BuildingName,CouncilDistrictCode,Neighborhood,YearBuilt,Address,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,TotalGHGEmissions,ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity,GHGEmissionsIntensity(kgCO2e/ft2),NaturalGas(kBtu),NaturalGas(therms),Electricity(kBtu),Electricity(kWh),SteamUse(kBtu),OtherFuelUse(kBtu),PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus
1,659000030,2019,NonResidential,MAYFLOWER PARK HOTEL,7,DOWNTOWN,1927,405 OLIVE WAY,SEATTLE,WA,98101,47.6122,-122.33799,Hotel,,Hotel,208.8,62,,83.1,83.3,7363218,7351864,167.6,167.6,,2.4,,1320791,13208,3871996,1134817,2159078,,88434,88434,0,,12,Hotel,88434,,,,,,No Issue,Compliant
2,659000220,2019,NonResidential,PARAMOUNT HOTEL,7,DOWNTOWN,1996,724 PINE ST,SEATTLE,WA,98101,47.61317,-122.33393,Hotel,,Hotel,286.9,70,,90.5,90.9,8040648,8006404,153.3,153.7,,3.2,,5059502,50595,2946902,863688,0,,103566,88502,15064,,11,Hotel,83880,Parking,15064,Restaurant,4622,,No Issue,Compliant
3,659000475,2019,NonResidential,WESTIN HOTEL (Parent Building),7,DOWNTOWN,1969,1900 5TH AVE,SEATTLE,WA,98101,47.61367,-122.33822,Hotel,,Hotel,1549,64,,90,90.4,68355568,68103264,201.1,201.5,,2,,1426400,14264,44075841,12917890,22601024,,956110,759392,196718,,41,Hotel,756493,Parking,138635,Swimming Pool,0,,No Issue,Compliant
5,659000640,2019,NonResidential,HOTEL MAX,7,DOWNTOWN,1926,620 STEWART ST,SEATTLE,WA,98101,47.61412,-122.33664,Hotel,,Hotel,232.4,58,,103,103.5,6346838,6319004,176.3,177.5,,3.8,,2013415,20134,2201145,645119,2104444,,61320,61320,0,,10,Hotel,61320,,,,,,No Issue,Compliant
8,659000970,2019,NonResidential,WARWICK SEATTLE HOTEL,7,DOWNTOWN,1980,401 LENORA ST,SEATTLE,WA,98121,47.61375,-122.34047,Hotel,,Hotel,587.5,63,,128.6,128.6,15875107,15875107,212.2,212.2,,5.2,,10430292,104303,5444815,1595784,0,,175580,113580,62000,,18,Hotel,123445,Parking,68009,Swimming Pool,0,,No Issue,Compliant
9,660000560,2019,Nonresidential COS,WEST PRECINCT (SEATTLE POLICE),7,DOWNTOWN,1999,810 VIRGINIA ST,SEATTLE,WA,98101,47.61623,-122.33657,Police Station,,Police Station,338.9,,,252.1,254.4,12913752,12796442,515,516,,5.6,,5539047,55390,7257396,2127021,0,,97288,60090,37198,,2,Police Station,50755,Parking,40971,,,,No Issue,Compliant
10,660000825,2019,NonResidential,CAMLIN WORLDMARK HOTEL,7,DOWNTOWN,1926,1619 9TH AVE,SEATTLE,WA,98101,47.6139,-122.33283,Hotel,,Hotel,191.3,59,,69.7,69.5,5653567,5671968,123.6,122.2,,2.3,,3330381,33304,2341587,686280,0,,83008,83008,0,,11,Hotel,81352,,,,,,No Issue,Compliant
11,660000955,2019,NonResidential,PARAMOUNT THEATER,7,DOWNTOWN,1926,901 PINE ST,SEATTLE,WA,98101,47.61327,-122.33136,Other - Entertainment/Public Assembly,,Other - Entertainment/Public Assembly,190.9,,,71.4,71.6,7352968,7338866,151.1,151.2,,1.9,,493872,4939,4239898,1242643,2605097,,102761,102761,0,,8,Other - Entertainment/Public Assembly,102761,,,,,,No Issue,Compliant
12,939000080,2019,NonResidential,COURTYARD BY MARRIOTT - PIONEER SQ,7,DOWNTOWN,1904,612 2ND AVE,SEATTLE,WA,98104,47.60294,-122.33263,Hotel,,Hotel,465.5,69,,87.4,88.2,14469527,14329436,158.9,160,,2.8,,8033999,80340,6295437,1845087,0,,163984,163984,0,,15,Hotel,163984,,,,,,No Issue,Compliant
13,939000105,2019,Multifamily MR (5-9),LYON BUILDING,7,DOWNTOWN,1910,607 3RD AVE,SEATTLE,WA,98104,47.60284,-122.33184,Multifamily Housing,,Multifamily MR (5-9),153.6,23,,81.7,83,5088576,5005885,157.2,158.7,,2.5,,1366355,13664,2391947,701040,1247583,,63712,62216,1496,,6,Multifamily Housing,43377,Retail Store,10652,Office,7253,,No Issue,Compliant
15,942000145,2019,NonResidential,HOTEL MONACO,7,DOWNTOWN,1969,1101 4TH AVE,SEATTLE,WA,98101,47.60695,-122.33414,Hotel,,Hotel,584.8,12,,124,123.3,19070178,19185970,240.5,238.8,,4.4,,4216100,42161,9254531,2712348,5715338,,153163,133884,19279,,11,Hotel,154723,,,,,,No Issue,Compliant
16,942000165,2019,NonResidential,W SEATTLE HOTEL,7,DOWNTOWN,1998,1112 4TH AVE,SEATTLE,WA,98101,47.60738,-122.33362,Hotel,,Hotel,603.8,36,,94.4,94.4,27579412,27573276,212.2,212.2,,2.2,,3088900,30889,18339288,5374938,6145088,,333176,272015,61161,,25,Hotel,292079,Parking,44561,,,,No Issue,Compliant
17,942000210,2019,NonResidential,EXECUTIVE PACIFIC PLAZA,7,DOWNTOWN,1928,400 SPRING ST,SEATTLE,WA,98104,47.60699,-122.33346,Hotel,,Hotel,172,71,,67.2,67.3,4372398,4366152,107.4,107.6,,2.6,,2049248,20492,1277690,374470,1039214,,65009,65009,0,,9,Hotel,65009,,,,,,No Issue,Compliant
18,942000235,2019,NonResidential,CROWNE PLAZA,7,DOWNTOWN,1980,1113 6TH AVE,SEATTLE,WA,98101,47.60809,-122.33212,Hotel,,Hotel,589.9,72,,77.7,77.7,22964854,22964854,161,161,,2,,9549927,95499,13414926,3931690,0,,353111,295511,57600,,33,Hotel,295511,Parking,57600,,,,No Issue,Compliant
19,942000265,2019,NonResidential,HOTEL VINTAGE PARK,7,DOWNTOWN,1922,1100 5TH AVE,SEATTLE,WA,98101,47.60755,-122.33244,Hotel,,Hotel,308.2,25,,123.1,123.6,8327206,8293236,210.4,210.5,,4.6,,1960000,19600,2820625,826678,3512610,,92190,66990,25200,,11,Hotel,67390,,,,,,No Issue,Compliant
21,942000275,2019,Nonresidential COS,SEATTLE CENTRAL LIBRARY,7,DOWNTOWN,2004,1000 4TH AVE,SEATTLE,WA,98104,47.60649,-122.33297,Library,,Library,130.5,,,43.4,43.1,15767846,15869671,118.4,117.5,,0.4,,0,0,15175392,4447653,694278,,412000,355000,57000,,11,Library,364913,Parking,49000,Data Center,1074,,No Issue,Compliant
22,942000350,2019,NonResidential,DOWNTOWN SEATTLE YMCA,7,DOWNTOWN,1930,909 4TH AVE,SEATTLE,WA,98104,47.60546,-122.33279,Fitness Center/Health Club/Gym,,Fitness Center/Health Club/Gym,382.7,,,114.8,115.5,12004540,11931781,218.7,219.6,,3.7,,1126579,11266,5352486,1568724,5452715,,103911,103911,0,,6,Fitness Center/Health Club/Gym,61528,Office,32195,Other - Lodging/Residential,10188,,No Issue,Compliant
23,942000430,2019,NonResidential,RENAISSANCE MADISON HOTEL,7,DOWNTOWN,1983,515 MADISON ST,SEATTLE,WA,98104,47.60681,-122.33078,Hotel,,Hotel,843.4,35,,97.9,97.4,33931112,34115308,206.5,205.1,,2.5,,13485773,134858,20629535,6046171,0,,416281,331281,85000,,28,Hotel,348329,Parking,85000,,,,No Issue,Compliant
