year,compliant_emissions
2027.0,336778109.28620917
2028.0,323965018.0158361
2029.0,307263081.1069254
2030.0,277973946.84667724
2031.0,245749572.281738
2032.0,223631694.8081368
2033.0,213223468.65374023
2034.0,203222757.6039403
2035.0,189961108.7412
2036.0,157771302.794
2037.0,142681994.1938
2038.0,136036407.0553
2039.0,130520407.42379999
2040.0,122463350.8449
2041.0,68180272.249
2042.0,44436149.8146
2043.0,33454827.284900002
2044.0,24914915.6684
2045.0,19468294.385
2046.0,13579218.969
2047.0,6870587.905
2048.0,3502571.108
2049.0,1464904.5480000002
2050.0,0.0
