year,compliant_emissions
2027.0,851975914.3309761
2028.0,851975914.3309761
2029.0,851975914.3309761
2030.0,821774928.7839235
2031.0,328620281.55673116
2032.0,302988803.89295244
2033.0,293296801.88635486
2034.0,278892004.55523974
2035.0,257989035.9660801
2036.0,219308548.43764433
2037.0,204041023.7907368
2038.0,194145180.8101428
2039.0,185337193.3195
2040.0,169452999.6665
2041.0,97852700.2801
2042.0,72027515.9155
2043.0,67990887.45755416
2044.0,58568296.77841479
2045.0,50911288.32460978
2046.0,32041572.713999998
2047.0,29961631.334
2048.0,28335032.099999998
2049.0,27234814.34
2050.0,0.0
