year,compliant_emissions
2027.0,340604953.02678
2028.0,316438815.54189
2029.0,298493283.99422
2030.0,265394363.736282
2031.0,240503861.534268
2032.0,219451343.563326
2033.0,200970831.85794
2034.0,185148846.401894
2035.0,170261175.1906
2036.0,144863778.5077
2037.0,130963193.6658
2038.0,124338914.4056
2039.0,119012751.6388
2040.0,111565319.2736
2041.0,65360799.6011
2042.0,43292973.2879
2043.0,32398386.0441
2044.0,24008340.827600002
2045.0,18513932.0214
2046.0,13221469.2091
2047.0,6737814.5792000005
2048.0,3512910.4093000004
2049.0,1493074.5282
2050.0,0.0
