year,compliant_emissions
2027.0,438739620.002985
2028.0,438739620.002985
2029.0,438739620.002985
2030.0,405100738.13061
2031.0,347846440.854892
2032.0,314810953.489042
2033.0,292325579.956506
2034.0,275747761.84203
2035.0,246576308.469121
2036.0,212650444.465758
2037.0,190549056.85867
2038.0,175838620.842199
2039.0,165285847.7855
2040.0,153415600.3413
2041.0,95957352.2226
2042.0,69951077.9489
2043.0,65345750.707117
2044.0,55521641.725781
2045.0,49938156.42174
2046.0,30233681.7138
2047.0,27832424.043899998
2048.0,26165558.5739
2049.0,24909147.0312
2050.0,0.0
