,Unnamed: 0,OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,BuildingName,NaturalGas(kBtu),Electricity(kBtu),SteamUse(kBtu),PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,OSE Building Type,LargestPropertyUseType OSE,SecondLargestPropertyUseType OSE,ThirdLargestPropertyUseType OSE,LargestPropertyUseType OSE GFA for Policy,SecondLargestPropertyUseType OSE GFA for Policy,ThirdLargestPropertyUseType OSE GFA for Policy,Total GFA for Policy,LargestPropertyUseType Percent GFA,SecondLargestPropertyUseType Percent GFA,ThirdLargestPropertyUseType Percent GFA,sq_ft_classification
0,0,1,659000030,2019,NonResidential,MAYFLOWER PARK HOTEL,1320791,3871996,2159078,88434,88434,0,Hotel,88434.0,,,,,NonResidential,Hotel,,,88434.0,0.0,0.0,88434.0,1.0,0.0,0.0,C
1,1,2,659000220,2019,NonResidential,PARAMOUNT HOTEL,5059502,2946902,0,103566,88502,15064,Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,NonResidential,Hotel,,Restaurant,83880.0,15064.0,4622.0,103566.0,0.8099183129598517,0.1454531409922175,0.0446285460479307,B
2,2,3,659000475,2019,NonResidential,WESTIN HOTEL (Parent Building),1426400,44075841,22601024,956110,759392,196718,Hotel,756493.0,Parking,138635.0,Swimming Pool,0.0,NonResidential,Hotel,,Recreation,756493.0,138635.0,0.0,895128.0,0.8451227087075814,0.1548772912924185,0.0,A
3,3,5,659000640,2019,NonResidential,HOTEL MAX,2013415,2201145,2104444,61320,61320,0,Hotel,61320.0,,,,,NonResidential,Hotel,,,61320.0,0.0,0.0,61320.0,1.0,0.0,0.0,C
4,4,8,659000970,2019,NonResidential,WARWICK SEATTLE HOTEL,10430292,5444815,0,175580,113580,62000,Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,NonResidential,Hotel,,Recreation,123445.0,68009.0,0.0,191454.0,0.6447762909106104,0.3552237090893896,0.0,B
5,5,9,660000560,2019,Nonresidential COS,WEST PRECINCT (SEATTLE POLICE),5539047,7257396,0,97288,60090,37198,Police Station,50755.0,Parking,40971.0,,,NonResidential,Fire/Police Station,,,50755.0,40971.0,0.0,91726.0,0.553332751891503,0.446667248108497,0.0,B
6,6,10,660000825,2019,NonResidential,CAMLIN WORLDMARK HOTEL,3330381,2341587,0,83008,83008,0,Hotel,81352.0,,,,,NonResidential,Hotel,,,81352.0,0.0,0.0,81352.0,1.0,0.0,0.0,C
7,7,11,660000955,2019,NonResidential,PARAMOUNT THEATER,493872,4239898,2605097,102761,102761,0,Other - Entertainment/Public Assembly,102761.0,,,,,NonResidential,Entertainment/Public Assembly,,,102761.0,0.0,0.0,102761.0,1.0,0.0,0.0,B
8,8,12,939000080,2019,NonResidential,COURTYARD BY MARRIOTT - PIONEER SQ,8033999,6295437,0,163984,163984,0,Hotel,163984.0,,,,,NonResidential,Hotel,,,163984.0,0.0,0.0,163984.0,1.0,0.0,0.0,B
9,9,13,939000105,2019,Multifamily MR (5-9),LYON BUILDING,1366355,2391947,1247583,63712,62216,1496,Multifamily Housing,43377.0,Retail Store,10652.0,Office,7253.0,Multifamily,Multifamily Housing,Retail Store,Office,43377.0,10652.0,7253.0,61282.0,0.7078261153356614,0.1738193923174831,0.1183544923468555,C
10,10,15,942000145,2019,NonResidential,HOTEL MONACO,4216100,9254531,5715338,153163,133884,19279,Hotel,154723.0,,,,,NonResidential,Hotel,,,154723.0,0.0,0.0,154723.0,1.0,0.0,0.0,B
11,11,16,942000165,2019,NonResidential,W SEATTLE HOTEL,3088900,18339288,6145088,333176,272015,61161,Hotel,292079.0,Parking,44561.0,,,NonResidential,Hotel,,,292079.0,44561.0,0.0,336640.0,0.8676301093155894,0.1323698906844106,0.0,A
12,12,17,942000210,2019,NonResidential,EXECUTIVE PACIFIC PLAZA,2049248,1277690,1039214,65009,65009,0,Hotel,65009.0,,,,,NonResidential,Hotel,,,65009.0,0.0,0.0,65009.0,1.0,0.0,0.0,C
13,13,18,942000235,2019,NonResidential,CROWNE PLAZA,9549927,13414926,0,353111,295511,57600,Hotel,295511.0,Parking,57600.0,,,NonResidential,Hotel,,,295511.0,57600.0,0.0,353111.0,0.8368784886338857,0.1631215113661143,0.0,A
14,14,19,942000265,2019,NonResidential,HOTEL VINTAGE PARK,1960000,2820625,3512610,92190,66990,25200,Hotel,67390.0,,,,,NonResidential,Hotel,,,67390.0,0.0,0.0,67390.0,1.0,0.0,0.0,C
15,15,21,942000275,2019,Nonresidential COS,SEATTLE CENTRAL LIBRARY,0,15175392,694278,412000,355000,57000,Library,364913.0,Parking,49000.0,Data Center,1074.0,NonResidential,Services,,,364913.0,49000.0,1074.0,414987.0,0.8793359791993484,0.1180759879225132,0.0025880328781383,A
16,16,22,942000350,2019,NonResidential,DOWNTOWN SEATTLE YMCA,1126579,5352486,5452715,103911,103911,0,Fitness Center/Health Club/Gym,61528.0,Office,32195.0,Other - Lodging/Residential,10188.0,NonResidential,Recreation,Office,Hotel,61528.0,32195.0,10188.0,103911.0,0.5921221044932683,0.3098324527720838,0.0980454427346479,B
17,17,23,942000430,2019,NonResidential,RENAISSANCE MADISON HOTEL,13485773,20629535,0,416281,331281,85000,Hotel,348329.0,Parking,85000.0,,,NonResidential,Hotel,,,348329.0,85000.0,0.0,433329.0,0.8038441922880767,0.1961558077119232,0.0,A
18,18,24,942000510,2019,NonResidential,RAINIER CLUB (HISTORICAL LANDMARK),2326592,3798900,1813328,57452,57452,0,Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,NonResidential,Entertainment/Public Assembly,Restaurant,Office,16442.0,15505.0,9741.0,41688.0,0.3944060640951832,0.3719295720591057,0.233664363845711,D
